index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
3627,12433,3030540198930305642224,Crosswalk Needed,Crosswalk Needed,4/19/2018,Thu,There needs to be a crosswalk from Salvador to Kroger. People cross all the time or wait to cross.,walks,WHITEHALL AV & LE CONTE AV,CLOVERNOLL DR,Mt. Washington,
3628,12434,6111586475961117304943,Speeding,Speeding,4/19/2018,Thu,I walk along Salvador and live off of it down near the end. People use it as a cut through on beetchmont. They speed. I?ÇÖve almost been hit a couple times. There are children who live and use the street as well as people with pets.,walks,KESWICK PL & STONINGTON RD,WAKEFIELD AV,Mt. Washington,
3629,12435,6111470461361115864759,No Sidewalks,No Sidewalks,4/19/2018,Thu,It?ÇÖs a dangerous road with people speeding and cutting through as well as being very narrow.,walks,STONINGTON RD & KESWICK PL,WAKEFIELD AV,Mt. Washington,
3630,12436,4076761255440771602834,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/19/2018,Thu,,walks,OLD ORCHARD RD & FARMBROOK DR,MADISON RD,Westwood,People consistently turn left from Harrison onto Werk on red light.  House on corner has had its fence knocked down multiple times. I strongly agree
3631,12436,6111872452861120614728,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/19/2018,Thu,,walks,FARMBROOK DR & OLD ORCHARD RD,WILLIAMS AV,Westwood,People consistently turn left from Harrison onto Werk on red light.  House on corner has had its fence knocked down multiple times. I strongly agree
3632,12437,6110444542661109135076,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/19/2018,Thu,"When I am out running, I see cars run the red light at Harrison and McHenry on a regular basis.",walks,OLD ORCHARD RD & OLD ORCHARD CT,OAK ST,Westwood,I agree
3633,12438,5452507543158444566705,Speeding,Speeding,4/19/2018,Thu,this is applicable to more than just this specific point.  Traffic on Harrison and Montana needs to be slowed down.  Pedestrian numbers are increasing.,walks,OLD ORCHARD CT & OLD ORCHARD RD,WHISPERINGHILL DR,Westwood,too much traffic. I always get stuck right at the intersection of Harrison and Montana. Both streets get really narrow at that point. I agree
3634,12438,7984974191079851451787,Speeding,Speeding,4/19/2018,Thu,this is applicable to more than just this specific point.  Traffic on Harrison and Montana needs to be slowed down.  Pedestrian numbers are increasing.,walks,HUNTERSKNOLL LN & WOODCROFT DR,EASTBURY DR,Westwood,too much traffic. I always get stuck right at the intersection of Harrison and Montana. Both streets get really narrow at that point. I agree
3635,12513,7984623197279849741910,No Sidewalks,No Sidewalks,4/20/2018,Fri,,walks,WOODCROFT DR & HUNTERSKNOLL LN,EASTBURY DR,Mt. Washington,
3636,12514,6094068180379846231972,No Sidewalks,No Sidewalks,4/20/2018,Fri,,walks,WOODCROFT DR & MARKLEY WOODS WY,EASTBURY DR,Mt. Washington,
3637,12577,7984974191079850132082,Double Parking,Double Parking,4/22/2018,Sun,"Cars often parked in No Parking Zone, causes collisions with bollards. Needs better enforcement.",drives,MARKLEY WOODS WY & WOODCROFT DR,TIMBER COVE,Over-the-Rhine,
3638,12593,5046196220250465752426,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/23/2018,Mon,Harrison wesrtbound trafic turning left on Werk consistently runs Red light interfering with right of way eastbound,drives,BRIXTON LN & BISHOPSBRIDGE DR,LANE O,Westwood,
3639,12657,5001077872553020899114,Lack of Visibility,Lack of Visibility,4/24/2018,Tue,Very dangerous thing pull out of driveway into markbreit due to no visibility because of so many parked cars.  There was an accident the other day in front of the new townhomes because of this.   It?ÇÖs a daily problem.,drives,BISHOPSBRIDGE DR & BRIXTON LN,LAUREL AV,Oakley,
3640,12913,6103622061360937871845,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,4/25/2018,Wed,speed limits need to be reduced and enforced.,walks,SALEM WOODS LN & SALEM RD,BUTTERWORTH RD,Corryville,
3641,12914,6091820101460920511205,Lack of Visibility,Lack of Visibility,4/25/2018,Wed,,drives,SALEM RD & SALEM WOODS LN,HAWKS RIDGE CIR,East Price Hill,
3642,12915,6091820101461022870831,Lack of Visibility,Lack of Visibility,4/25/2018,Wed,"At Olive & St. Lawrence stop sign, Low visibility to the west due to parked cars",drives,WAYSIDE CT & DELIQUIA DR,COUNTY DOWN LN,East Price Hill,
3643,13233,6110444542661109345959,Speeding,Speeding,4/26/2018,Thu,"Vehicles travelling SE on Westwood N. Blvd.,at  speeds over 50 MPH, endanger vehicles entering the Blvd. from McFarlan Woods Dr.",drives,DELIQUIA DR & WAYSIDE CT,S 2ND ST,Westwood,
3644,13234,5989950052259806660440,Lack of Visibility,Lack of Visibility,4/26/2018,Thu,"Vegetation overgrowth on the hillside impacts visibility of speeding vehicles travelling SE on Westwood N. Blvd., endangering vehicles entering the Blvd. from McFarlan Woods Dr.",drives,CEDAR CROSSING LN & CEDAR CREST LN,LINCOLN RD,Westwood,
3645,13235,6110378443161104974578,Crosswalk Needed,Crosswalk Needed,4/26/2018,Thu,"Vegetation overgrowth on the hillside and speeding vehicles travelling SE on Westwood N. Blvd., endangers pedestrians crossing the Blvd. from McFarlan Woods Dr. to enter the park.",walks,CEDAR CREST LN & CEDAR CROSSING LN,HANNA AV,Westwood,
3646,13569,GJ2973855552GJ3003855566,Crosswalk Needed,Crosswalk Needed,4/29/2018,Sun,Very difficult to walk along Vine Street due to the number of streets coming together.  No clear crossings for pedestrians makes it worse.  I don?ÇÖt feel safe walking in the area.,walks,MEADOWBRIGHT LN & TRIDALE CT,SOCIALVILLE FOSTER RD,CUF,Intersection is dangerous for pedestrians to cross Vine St. Marked crosswalk south of the Ruther & Vine area is rarely observed. When crossing at the marked crosswalk I put my hands up & stare down the drivers. Speeding is also outrageous thru here.
3647,13570,6102993088460931131393,Crosswalk Needed,Crosswalk Needed,4/29/2018,Sun,"Cars speed downhill, way over the max speed. A person trying to cross is at risk. There are not stop signs from Ludlow av. to middletow av.",walks,TRIDALE CT & MEADOWBRIGHT LN,SILVERFOX DR,Clifton,"There is lack of visibility, no crosswalk, and cars speed going downhill, but also uphill. Speed-bumps would be great in this street."
3648,13571,4272723195042735222114,Crosswalk Needed,Crosswalk Needed,4/29/2018,Sun,"Cars speed downhill, way over the max speed. A person trying to cross is at risk. There are not stop signs from Ludlow av. to middletow av.",walks,GLADE AV & MAYLAND DR,HIGHLAND AV,Clifton,
3649,13572,4273522211442742172086,Speeding,Speeding,4/29/2018,Sun,cars flight both ways. A stop sign in the intersection of Lafayette AV and McAlpin AV. would be very useful.,bikes,MAYLAND DR & GLADE AV,HIGHLAND AV,Clifton,"I support  a full stop sign for all cars at McAlpin and Lafayette Avenue. It would help slow cars, so people car bike and cross the street."
3650,14241,4957002549049570365831,Speeding,Speeding,5/3/2018,Thu,constant speeding,walks,DYER ST & GLADE AV,KENWOOD RD,Mt. Lookout,Cars easily 20MPH+ over speed limit constantly.
3651,14242,5214597559252149005743,Crosswalk Needed,Crosswalk Needed,5/3/2018,Thu,,walks,GLADE AV & DYER ST,HUNLEY RD,Mt. Lookout,Agreed. There is a bus stop on both sides of Linwood at Van Dyke. Also needs a light as volume of traffic and speeding is excessive here and there.
3652,14243,5214355547852145975592,Other,Other,5/3/2018,Thu,"Turning onto or crossing Linwood from Van Dyke, either side, is very dangerous due to excessive speeds and volume of traffic",drives,GLADE AV & CRAIGLAND LN,HUNLEY RD,Mt. Lookout,
3653,14244,5213818543152143555478,Speeding,Speeding,5/3/2018,Thu,Constant speeding traffic,walks,CRAIGLAND LN & GLADE AV,HUNLEY RD,Mt. Lookout,Linwood is notorious for speeding issues
3654,14245,4957036583149570986440,Speeding,Speeding,5/3/2018,Thu,"Excessive speed, especially down hill",drives,CAMBRIDGE AV & BRANDON AV,KENWOOD RD,Mt. Lookout,"agree 50+ in a 30MPH is normal, accelerating down the hill"
3655,14245,2301055715423015727085,Speeding,Speeding,5/3/2018,Thu,"Excessive speed, especially down hill",drives,BRANDON AV & CAMBRIDGE AV,POOLE RD,Mt. Lookout,"agree 50+ in a 30MPH is normal, accelerating down the hill"
3656,14246,4675471320751177861276,Crosswalk Needed,Crosswalk Needed,5/3/2018,Thu,There's no place to cross Linwood. Needs a signal too.,walks,CAMBRIDGE AV & MARQUETTE AV,BENNETT RD,Mt. Lookout,
3657,14247,2951629200632821651942,Other,Other,5/3/2018,Thu,"In the morning, there is a backup of people turning left onto Observatory from Linwood. People go around the backup and turn left from the right lane!",drives,MARQUETTE AV & CAMBRIDGE AV,BATES AV,Hyde Park,
3658,14248,3359103933633594499071,Double Parking,Double Parking,5/3/2018,Thu,"Parking should not be on both sides of the street. If people park on both sides across from each other, the road becomes one lane.",drives,CAMBRIDGE AV & MARLOU LN,EGGLESTON AV,Mt. Lookout,The recent change to allow parking on the east side of Herschel Avenue just north of Beverly Hill Drive has created a safety problem. forces a game of chicken
3659,14248,6094211145079847231480,Double Parking,Double Parking,5/3/2018,Thu,"Parking should not be on both sides of the street. If people park on both sides across from each other, the road becomes one lane.",drives,MARLOU LN & CAMBRIDGE AV,DECATUR LN,Mt. Lookout,The recent change to allow parking on the east side of Herschel Avenue just north of Beverly Hill Drive has created a safety problem. forces a game of chicken
3660,14249,6119761452161199444755,Other,Other,5/3/2018,Thu,"Turning from links drive onto Seymour. The light takes too long, too many people block the intersection when the light is finally green causing to have to wait a few rounds of light changes to be able to finally turn left onto Seymour",drives,WHIPPOORWILL DR & FARMBROOK DR,LOWELL AV,Roselawn,
3661,14257,3358838955733591039336,Speeding,Speeding,5/4/2018,Fri,"Drivers, including police, drive stupid fast on this stretch between Madison and the square. Wide road that has a downhill both ways. Drivers feel no impediment to letting it fly. ENFORCEMENT!!!",walks,FARMBROOK DR & WHIPPOORWILL DR,EGGLESTON AV,Hyde Park,
3662,14258,3389786105133898271414,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,5/4/2018,Fri,The no Ped crossing on west side of intersection is just sad for walkers. How about a SCRAMBLE walk light here? One part of the sequence of the light allows walkers to cross in ALL directions simultaneously! Look it up!,walks,WHIPPOORWILL DR & BUTTONWOOD CT,EDEN AV,Hyde Park,
3663,14513,3358463885633586588896,""" src=""images/08 - Failure to yield while going straight.png""></span>&nbsp;Parking too close to intersection",Vehicles do not yield at crosswalks,5/4/2018,Fri,"On weekends when parking is tight, people park all the way up to the stop sign. Cars turning right onto Broadway cannot do so without nearly hitting anyone turning left onto 14th from Broadway.",drives,BUTTONWOOD CT & WHIPPOORWILL DR,E 8TH ST,Pendleton,
3664,14514,2885776920728859089182,Speeding,Speeding,5/4/2018,Fri,,drives,WOODSEDGE DR & DUNWOODIE DR,W 8TH ST,Oakley,
3665,14515,3389718039633897861051,Speeding,Speeding,5/4/2018,Fri,,walks,DUNWOODIE DR & WOODSEDGE DR,EDEN AV,Oakley,
3666,14516,GJ3451057597GJ3454757598,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,5/4/2018,Fri,,walks,STRATFORD HILL DR & JAMES HILL DR,WESTERN ROW RD,Oakley,
3667,14517,0143480295601445412749,Speeding,Speeding,5/4/2018,Fri,,walks,JAMES HILL DR & STRATFORD HILL DR,CAMPBELL RD,Oakley,
3668,14518,0904277272709046072719,Speeding,Speeding,5/4/2018,Fri,People speed through this intersection or go far too fast in the right turn lanes without checking for pedestrians.,walks,SUNRAY AV & WILSHIRE AV,WILLEY RD,CUF,
3669,14519,3528178613335293356292,Jaywalking,Jaywalking,5/4/2018,Fri,"Pedestrians dare drivers by walking, running, and even standing in the street, sometimes in groups of a dozen or more. It is the most dangerous street in all of OTR/Clifton Heights by far.",drives,WILSHIRE AV & SUNRAY AV,W KEMPER RD,Over-the-Rhine,
3670,14520,2746061540827462794922,Jaywalking,Jaywalking,5/4/2018,Fri,"People stand in the street, individually and in groups to intentionally block cars. Many close calls between cars and pedestrians.",drives,SUNRAY AV & AYERSHIRE AV,HAMILTON AV,Over-the-Rhine,
3671,14521,4536213894645364588924,Jaywalking,Jaywalking,5/4/2018,Fri,"Large crowds of people block the sidewalks, some sell drugs. Cars sit in traffic lanes not moving. This makes it a very dangerous intersection for drivers and pedestrians.",walks,AYERSHIRE AV & SUNRAY AV,MADISON RD,Over-the-Rhine,
3672,15185,3048499675530485307100,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,5/11/2018,Fri,"Cars are traveling very fast.  It is scary for drivers, much less pedestrians and bicyclist.  Enforcement needs to be increased.",drives,KINGSCOVE WY & BURHAVEN LN,HAMILTON AV,North Fairmount,
3673,15186,GJ3128160050GJ3132260100,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,5/11/2018,Fri,cars moving way to fast,drives,BURHAVEN LN & KINGSCOVE WY,S FOREST AV,Westwood,
3674,15187,4075645171840759851965,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,5/11/2018,Fri,People routinely use the center double turn lane to drive straight.  Enforcement is needed.  Congestion in through lane caused by buses.  Need bus pull offs and bus stop consolidation.,drives,SUNNY ACRES DR & HEATHGATE DR,MADISON RD,Westwood,
3675,15217,4762429826347632198175,Speeding,Speeding,5/13/2018,Sun,Constant speeding of cars passing through both ways. We need to reduce speed limit and enforce. I?ÇÖm afraid of getting killed while walking on the sidewalk with my kids. It?ÇÖs been going on too long!!,walks,HEATHGATE DR & SUNNY ACRES DR,MADISON RD,Mt. Lookout,
3676,15218,2620900951726209379949,Other,Other,5/13/2018,Sun,Can?ÇÖt turn left out of side street because of constant stream of cars from beechmont. We need more lights to deter traffic.,drives,BEECHMONT AV & VOLL RD,PIPPIN RD,Mt. Lookout,
3677,15219,4764108807547642788058,Speeding,Speeding,5/13/2018,Sun,WAY too fast!  Can?ÇÖt pull out of driveway.,drives,VOLL RD & BEECHMONT AV,MADISON RD,Mt. Lookout,
3678,15521,4764278805847645508029,No Bike Facilities,No Bike Facilities,5/14/2018,Mon,"This is a dangerous area for bikes and pedestrians due to right-turn slip lanes, speeding traffic, and variable lane widths leading to ambiguous right-of-way.",bikes,BEECHMONT AV & STANLEY RD,MADISON RD,Madisonville,
3679,15522,4763277817047638178111,No Bike Facilities,No Bike Facilities,5/14/2018,Mon,"This is a dangerous area for bikes and pedestrians due to right-turn slip lanes, speeding traffic, and variable lane widths leading to ambiguous right-of-way, along with turning traffic having priority.",bikes,STANLEY RD & BEECHMONT AV,MADISON RD,Madisonville,
